R,G,B,R_out,G_out,B_out
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,-0.01027696875,0.0023904687500000002,0.0613530625
0.0,0.0,0.125,-0.0205539375,0.0047809375000000005,0.122706125
0.0,0.0,0.1875,-0.03083090625,0.007171406250000001,0.1840591875
0.0,0.0,0.25,-0.041107875,0.009561875000000001,0.24541225
0.0,0.0,0.3125,-0.051384843750000006,0.01195234375,0.3067653125
0.0,0.0,0.375,-0.0616618125,0.014342812500000001,0.368118375
0.0,0.0,0.4375,-0.07193878125,0.016733281250000002,0.4294714375
0.0,0.0,0.5,-0.08221575,0.019123750000000002,0.4908245
0.0,0.0,0.5625,-0.09249271875000001,0.02151421875,0.5521775625
0.0,0.0,0.625,-0.10276968750000001,0.0239046875,0.613530625
0.0,0.0,0.6875,-0.11304665625,0.026295156250000003,0.6748836874999999
0.0,0.0,0.75,-0.123323625,0.028685625000000003,0.73623675
0.0,0.0,0.8125,-0.13360059375,0.031076093750000002,0.7975898125
0.0,0.0,0.875,-0.1438775625,0.033466562500000005,0.858942875
0.0,0.0,0.9375,-0.15415453125,0.035857031250000004,0.9202959374999999
0.0,0.0,1.0,-0.1644315,0.038247500000000004,0.981649
0.0,0.0625,0.0,0.040078312500000005,0.048019187500000005,0.0018201250000000001
0.0,0.0625,0.0625,0.029801343750000004,0.050409656250000004,0.0631731875
0.0,0.0625,0.125,0.019524375000000004,0.052800125,0.12452625
0.0,0.0625,0.1875,0.009247406250000003,0.05519059375,0.1858793125
0.0,0.0625,0.25,-0.0010295624999999975,0.0575810625,0.247232375
0.0,0.0625,0.3125,-0.011306531250000001,0.05997153125,0.3085854375
0.0,0.0625,0.375,-0.0215835,0.06236200000000001,0.3699385
0.0,0.0625,0.4375,-0.031860468749999996,0.06475246875000001,0.4312915625
0.0,0.0625,0.5,-0.0421374375,0.0671429375,0.492644625
0.0,0.0625,0.5625,-0.052414406250000004,0.06953340625000001,0.5539976875
0.0,0.0625,0.625,-0.06269137500000001,0.071923875,0.61535075
0.0,0.0625,0.6875,-0.07296834375,0.07431434375000001,0.6767038124999999
0.0,0.0625,0.75,-0.0832453125,0.07670481250000001,0.738056875
0.0,0.0625,0.8125,-0.09352228124999999,0.07909528125000001,0.7994099375
0.0,0.0625,0.875,-0.10379925,0.08148575000000001,0.860763
0.0,0.0625,0.9375,-0.11407621875,0.08387621875000001,0.9221160624999999
0.0,0.0625,1.0,-0.1243531875,0.08626668750000001,0.9834691249999999
0.0,0.125,0.0,0.08015662500000001,0.09603837500000001,0.0036402500000000003
0.0,0.125,0.0625,0.06987965625,0.09842884375000001,0.0649933125
0.0,0.125,0.125,0.05960268750000001,0.10081931250000001,0.126346375
0.0,0.125,0.1875,0.04932571875000001,0.10320978125000001,0.1876994375
0.0,0.125,0.25,0.03904875000000001,0.10560025,0.2490525
0.0,0.125,0.3125,0.028771781250000003,0.10799071875,0.3104055625
0.0,0.125,0.375,0.018494812500000006,0.1103811875,0.371758625
0.0,0.125,0.4375,0.008217843750000009,0.11277165625000002,0.4331116875
0.0,0.125,0.5,-0.002059124999999995,0.115162125,0.49446475
0.0,0.125,0.5625,-0.012336093749999999,0.11755259375000002,0.5558178125000001
0.0,0.125,0.625,-0.022613062500000003,0.1199430625,0.617170875
0.0,0.125,0.6875,-0.03289003124999999,0.12233353125000002,0.6785239375
0.0,0.125,0.75,-0.043167,0.12472400000000002,0.739877
0.0,0.125,0.8125,-0.05344396874999999,0.12711446875000001,0.8012300625000001
0.0,0.125,0.875,-0.06372093749999999,0.12950493750000003,0.862583125
0.0,0.125,0.9375,-0.07399790625,0.13189540625,0.9239361875
0.0,0.125,1.0,-0.084274875,0.134285875,0.98528925
0.0,0.1875,0.0,0.12023493750000001,0.1440575625,0.005460375
0.0,0.1875,0.0625,0.10995796875000001,0.14644803125000003,0.0668134375
0.0,0.1875,0.125,0.09968100000000002,0.1488385,0.1281665
0.0,0.1875,0.1875,0.08940403125000002,0.15122896875000003,0.1895195625
0.0,0.1875,0.25,0.07912706250000001,0.1536194375,0.250872625
0.0,0.1875,0.3125,0.06885009375000001,0.15600990625000002,0.3122256875
0.0,0.1875,0.375,0.05857312500000001,0.158400375,0.37357875
0.0,0.1875,0.4375,0.048296156250000014,0.16079084375000002,0.4349318125
0.0,0.1875,0.5,0.03801918750000001,0.1631813125,0.496284875
0.0,0.1875,0.5625,0.027742218750000006,0.16557178125000002,0.5576379375
0.0,0.1875,0.625,0.01746525,0.16796225,0.618991
0.0,0.1875,0.6875,0.0071882812500000115,0.17035271875000002,0.6803440624999999
0.0,0.1875,0.75,-0.0030886874999999925,0.1727431875,0.741697125
0.0,0.1875,0.8125,-0.013365656249999983,0.17513365625000002,0.8030501875
